video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YlQA3qFzw18&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@JavaDiscover,Java Discover | Free Global Documentaries & Clips,Poverty in the World's Richest Country: Meet the USA's Poorest People | American Poverty Documentary,"1,4 mln. weergaven",2 jaar geleden,"43 million people in the United States now live below the poverty line, twice as many as it was fifty years ago. 1.5 million children ...",2024-01-28 00:45:58.734952
/watch?v=G7z1kjkdRxU&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@BestDoc,Best Documentary,USA on the Brink of Chaos: How Americans Are Living the End of the American Dream,"1,7 mln. weergaven",9 maanden geleden,"Facing a pandemic, an unprecedented economic and social crisis, the United States seems to be on the brink. We followed ...",2024-01-28 00:45:58.736635
/watch?v=ivIKI7F1IQc&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NickJohnson,Nick Johnson,I Went To The Most Republican County In America,522K weergaven,10 maanden geleden,Wait. THIS is where all the conservatives live? What happened to the place? If I were to compare how the liberals live versus ...,2024-01-28 00:45:58.738696
/watch?v=HpWAZpgEodQ&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NickJohnson,Nick Johnson,I Went To The Poorest County In America,"1,1 mln. weergaven",10 maanden geleden,This doesn't even look like America anymore. McDowell County is now the poorest place in the country. You could say McDowell ...,2024-01-28 00:45:58.740441
/watch?v=adq1rlWFE4o&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NickJohnson,Nick Johnson,The 10 States Where Homelessness is Out of Control and Beyond Repair,"2,7 mln. weergaven",2 jaar geleden,"Many parts of the United States are suffering with massive homeless camps. Every day in the US, on average, 55 people become ...",2024-01-28 00:45:58.742340
/watch?v=EtqchgO03xI&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@wsj,The Wall Street Journal,A Portrait of Poverty in America: Job Insecurity and Payday Lending,659K weergaven,6 jaar geleden,"Many families in Tchula, Miss., struggle to make ends meet with a patchwork of jobs and high-interest loans. Community leaders ...",2024-01-28 00:45:58.743607
/watch?v=UpRyv5VzmjA&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@CBCTheNational,CBC News: The National,Could a new approach to First Nations housing be a game-changer?,94K weergaven,6 jaar geleden,Voice Your Opinion & Connect With Us Online: The National Updates on Facebook: https://www.facebook.com/thenational The ...,2024-01-28 00:45:58.745005
/watch?v=UF60TuzVjmc&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@JavaDiscover,Java Discover | Free Global Documentaries & Clips,Poverty after the Pandemic: Americans in Corona-Fueled Economic Crisis | Poverty in US Documentary,"1,2 mln. weergaven",2 jaar geleden,"Facing a pandemic, an unprecedented economic and social crisis, the United States seems to be on the brink. We followed ...",2024-01-28 00:45:58.747081
/watch?v=nw5GoTq2vBE&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@PostLive,Washington Post Live,"Matthew Desmond on ‘Poverty, by America’",22K weergaven,Gestreamd: 9 maanden geleden,"Matthew Desmond, a Princeton sociologist, is the author of a new book that explores why poverty remains at a higher level in the ...",2024-01-28 00:45:58.748490
/watch?v=NwDAaKJXKPE&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@JavaDiscover,Java Discover | Free Global Documentaries & Clips,Working & Homeless: The Death of the American Dream | Poverty in the USA Documentary,"2,1 mln. weergaven",1 jaar geleden,"In the USA, many people are working 2 or more jobs and still living below the poverty line. Families are forced to move their ...",2024-01-28 00:45:58.750274
/watch?v=J6sdTOO_uxo&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@ABCNews,ABC News,"Suicide rates, alcoholism among Lakota tribe | Hidden America: Children of the Plains PART 2/5",249K weergaven,5 jaar geleden,Children of the Plains Part 2: Louise survives in a home with scarce food and a mother lost in alcohol. [Original Air Date ...,2024-01-28 00:45:58.754296
/watch?v=gbZ3eUCnbp8&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@4NewsNow,4 News Now,Poverty on the rise in Washington,1K weergaven,9 jaar geleden,"While the rest of the country has seen a decrease in poverty, Washington is among the three states with a poverty rate on the rise.",2024-01-28 00:45:58.755653
/watch?v=S3n-m9DZZ6Q&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@DiasporaCareersandInvestments,Diaspora Careers and Investments,This is Why Black People Abroad are Poorer,703 weergaven,6 uur geleden,Statistics show that Black people abroad are poorer than their White counterparts or other ethnic minorities. In this frank ...,2024-01-28 00:45:58.756883
/watch?v=ytd06hadrsM&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@PBSNewsHour,PBS NewsHour,"The story of American poverty, as told by one Alabama county","1,4 mln. weergaven",5 jaar geleden,"More than 18 million Americans live in “extreme poverty,” according to a report from the United Nations, which ranked poverty in ...",2024-01-28 00:45:58.758440
/watch?v=Gsg6eUhFDDo&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@VICE,VICE,Canada's Waterless Communities: Neskantaga,70K weergaven,8 jaar geleden,"Canada has the world's second-largest supply of fresh water, but 94 First Nations communities have limited or no access to it.",2024-01-28 00:45:58.759830
/watch?v=_WXkFUlxlz4&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@nationswell,NationSwell,This Harlem Native Is on a Mission to End Poverty in America,"2,6K weergaven",8 jaar geleden,Her organization is one-stop shop for an entire spectrum of aid.,2024-01-28 00:45:58.761028
/watch?v=7O7BMa9XGXE&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@TED,TED,How America's public schools keep kids in poverty | Kandice Sumner,573K weergaven,7 jaar geleden,"Why should a good education be exclusive to rich kids? Schools in low-income neighborhoods across the US, specifically in ...",2024-01-28 00:45:58.762285
/watch?v=mPXdhghxe9s&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@DWDocumentary,DW Documentary,Honduras: Escaping violence and poverty | DW Documentary,655K weergaven,1 jaar geleden,"Every year, tens of thousands of people from the central American nation of Honduras leave their home country to try and reach ...",2024-01-28 00:46:09.351809
/watch?v=yjDwDfo2bzA&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@KGWNews8,KGW News,Washington family facing homelessness after 150% rent increase,67K weergaven,1 jaar geleden,"The family of three had the rent on their trailer raised from $800 a month to $2000, and they can't find anything else in their price ...",2024-01-28 00:46:09.366408
/watch?v=Qc5tokgWTpg&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@DemocracyNow,Democracy Now!,"Poor People’s March on Washington Saturday Demands “Moral Reset” on Poverty, Voting Rights, Climate",70K weergaven,1 jaar geleden,"We speak with Bishop William Barber and Reverend Liz Theoharis, co-chairs of the Poor People's Campaign, about plans for ...",2024-01-28 00:46:09.370490
/watch?v=10_QZojPkho&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@CBCNews,CBC News,Canada has failed Indigenous people: Human Rights Watch,14K weergaven,1 jaar geleden,The annual report from Human Rights Watch has singled out Canada's failure to address ongoing issues in Indigenous ...,2024-01-28 00:46:09.376617
/watch?v=usPxGsePRp4&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@TEDx,TEDx Talks,The House That Poverty Built | Kristine Reeves | TEDxTacoma,367 weergaven,5 jaar geleden,Kristine Reeves currently serves as Washington State's Director of the Military & Defense Sector. Reeves is also serving her first ...,2024-01-28 00:46:09.381965
/watch?v=fhvLEcRdub4&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@NITV,NITV,PLANNED CLOSURE OF WA COMMUNITIES HIGHLIGHTS WA’S POOR CONTRIBUTION TO CLOSING THE GAP,84 weergaven,8 jaar geleden,Over in Western Australia the biggest threat to the Indigenous community has been the proposed closure of remote communities.,2024-01-28 00:46:09.385207
/watch?v=s50iA1brWX0&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@UnitedStates5050,Our 50 States,Top 8 Homeless States in America Are Passing Anti-Homeless Laws,198K weergaven,4 maanden geleden,"Top Homeless States in America: The United States is facing a growing homelessness crisis, with the number of people ...",2024-01-28 00:46:09.391205
/watch?v=Vd6YhDy_ZSI&pp=ygUdd2FzaGluZ3RvbiBpbmRpZ2Vub3VzIHBvdmVydHk%3D,/@christopherrufo,Christopher F. Rufo,"America Lost (PBS, 2019)",574K weergaven,11 maanden geleden,"America Lost is a documentary triptych that explores life in three of America's “forgotten cities”—Youngstown, Ohio, Memphis, ...",2024-01-28 00:46:09.398495
