video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=jly1he7ZV30&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@fox13seattle,FOX 13 Seattle,Burien prepares to sweep homeless encampment downtown | FOX 13 Seattle,"9,3K weergaven",7 maanden geleden,"At midnight on Thursday, the City of Burien plans to sweep a homeless encampment that has been growing downtown for weeks.",2024-01-27 23:45:55.307265
/watch?v=LW3sTduzJKA&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@discoveryinstitute,Discovery Institute,Landlord Turned Down by Seattle’s KCRHA After Offering Apartments for the Homeless,"3,2K weergaven",5 maanden geleden,Jonathan Choe talks with a Seattle landlord who was turned down by the Regional Homelessness Authority for offering units for ...,2024-01-27 23:45:55.310060
/watch?v=gsy6rKpExsE&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,$11.5 billion plan proposed to help end homelessness in King County,"6,9K weergaven",1 jaar geleden,"The money would go toward King County Regional Homelessness Authority operating costs, various programs and thousands of ...",2024-01-27 23:45:55.312779
/watch?v=VLOAFL3iIWo&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@InvisiblePeople,Invisible People,Young Homeless Woman Living in RV in Seattle,202K weergaven,1 jaar geleden,... LA's Homeless Sweeps https://youtu.be/4ysLhmL_UYk Living under a Bridge Doesn't Stop This Seattle Homeless Woman from ...,2024-01-27 23:45:55.317151
/watch?v=jjE5mBXDKIU&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@ajplus,AJ+,I Make $20/Hour And I'm Still Homeless,"1,2 mln. weergaven",1 jaar geleden,"Jackson Hole, Wyoming, is a playground for billionaires. Teton County, where Jackson Hole is located, is the wealthiest county in ...",2024-01-27 23:45:55.320134
/watch?v=oMr5JjEOzkY&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@CNBC,CNBC,Why The U.S. Can’t End Poverty,"2,2 mln. weergaven",10 maanden geleden,"37.9 million Americans are currently living in poverty, accounting for 11.6% of the total population. That's despite the fact that ...",2024-01-27 23:45:55.324600
/watch?v=yIdxLgV17U4&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@KING5Seattle,KING 5 Seattle,Seattle man living in RV hopes to humanize homelessness,33K weergaven,11 maanden geleden,"Timothy Barto says people have a lot of misconceptions when they see someone living out of an RV. ""They think we aren't normal ...",2024-01-27 23:46:04.170801
/watch?v=PvOkSxPeLwQ&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@komonews,KOMO News,"Homelessness, fentanyl crisis some of the biggest issues impacting western Washington | ARC Seattle","7,1K weergaven",2 weken geleden,"Welcome to ARC Seattle! The show that brings you authentic, relevant, community-centered content from around the Puget Sound ...",2024-01-27 23:46:04.173228
/watch?v=q9ztyIxPYa4&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@fox13seattle,FOX 13 Seattle,"Puyallup spends $7,000 on boulders to deter homeless people | FOX 13 Seattle",10K weergaven,2 dagen geleden,The City of Puyallup says $7000 worth of landscaping rocks were meant to protect damaged vegetation. Many locals argue that's ...,2024-01-27 23:46:04.174572
/watch?v=NYwCVL-njrw&pp=ygUcc2VhdHRsZSBob21lbGVzc25lc3MgcG92ZXJ0eQ%3D%3D,/@thehill,The Hill,SAVING FACE?! Seattle Takes Action On Homeless Crisis Ahead Of MLB All-Stars Week,18K weergaven,6 maanden geleden,Jessica Burbank and Amber Athey react to Seattle's clean-up of its homeless population ahead of the MLB All-Stars week.,2024-01-27 23:46:04.176141
